Province/State,Country/Region,Lat,Long,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20
Liguria,ricoverati_con_sintomi,0.0,0.0,0,1,6,9,9,4,12,12,12,10,11,12,26,39,60,57,74,100,128,213,253,255,299,401,491,573,598,736,761,803,927,998,1023,1031,1077,1142,1153,1114,1120
Umbria,ricoverati_con_sintomi,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,4,8,7,8,11,21,25,30,36,54,69,75,92,97,106,105,123,144,149,159,166,173,176,173,171
Marche,ricoverati_con_sintomi,0.0,0.0,0,0,1,2,3,6,12,17,27,34,57,73,94,110,136,152,212,254,337,449,521,528,599,638,656,704,742,816,882,862,938,977,979,987,1000,998,946,984,986
Lazio,ricoverati_con_sintomi,0.0,0.0,1,1,0,0,0,3,3,3,10,15,20,26,43,47,55,50,67,85,122,181,223,267,314,374,426,537,591,671,718,747,805,878,992,985,1062,1079,1127,1131,1169
Abruzzo,ricoverati_con_sintomi,0.0,0.0,0,0,0,1,1,2,3,3,5,7,8,9,11,14,25,17,17,47,42,51,72,71,94,99,181,190,185,218,228,234,248,280,289,311,329,322,335,342,341
Emilia-Romagna,ricoverati_con_sintomi,0.0,0.0,10,15,20,36,56,86,127,148,187,256,327,397,464,542,576,669,745,814,942,1076,1215,1362,1566,1784,1900,2083,2267,2429,2846,2974,3180,3354,3461,3695,3769,3779,3765,3898,3944
Sicilia,ricoverati_con_sintomi,0.0,0.0,0,1,1,1,1,1,1,2,2,5,5,7,8,18,19,17,23,28,37,42,56,75,86,100,143,168,206,220,250,250,259,346,425,441,451,484,503,496,503
Calabria,ricoverati_con_sintomi,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,8,8,10,14,18,22,32,36,45,45,60,71,73,77,82,88,93,101,103,107,124,130,132,144,163
Lombardia,ricoverati_con_sintomi,0.0,0.0,76,79,79,172,235,256,406,478,698,877,1169,1622,1661,2217,2802,3319,3852,4247,4435,4898,5500,6171,6953,7285,7387,7735,8258,9439,9266,9711,10026,10681,11137,11152,11613,11815,11883,11927,11762
Molise,ricoverati_con_sintomi,0.0,0.0,0,0,0,0,0,0,0,0,3,3,4,3,3,4,4,3,4,4,5,5,3,3,7,7,19,20,21,24,25,27,26,27,26,26,25,27,29,32,30
P.A. Trento,ricoverati_con_sintomi,0.0,0.0,0,0,0,0,0,0,0,0,1,1,2,4,6,7,10,19,28,43,58,68,73,73,107,141,169,198,233,235,249,308,308,300,341,351,356,353,354,345,339
P.A. Bolzano,ricoverati_con_sintomi,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,4,8,8,8,17,8,21,20,26,50,53,71,79,87,99,127,146,145,166,190,223,249,225,234,231,249,269,279
Veneto,ricoverati_con_sintomi,0.0,0.0,12,12,16,19,24,24,51,53,49,76,92,117,123,146,186,204,262,360,366,366,426,498,548,646,771,843,942,1113,1206,1318,1407,1447,1536,1559,1586,1633,1680,1718,1670
Puglia,ricoverati_con_sintomi,0.0,0.0,0,0,0,1,1,1,1,2,2,4,5,5,9,17,20,28,38,58,77,91,116,116,155,156,173,191,209,252,285,317,349,480,530,563,559,590,609,637,645
Toscana,ricoverati_con_sintomi,0.0,0.0,0,2,2,2,5,7,7,7,10,15,26,35,54,91,107,91,87,100,134,160,175,175,329,427,501,601,664,706,838,918,999,1037,1053,1093,1111,1116,1120,1120,1135
Valle d'Aosta,ricoverati_con_sintomi,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,2,7,6,12,10,28,35,41,47,54,62,63,69,71,70,73,91,90,90,92,91,85,85
Basilicata,ricoverati_con_sintomi,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,1,1,0,0,1,5,9,8,8,12,13,15,14,20,22,22,26,32,36,37,39,38
Campania,ricoverati_con_sintomi,0.0,0.0,0,0,0,2,2,3,4,4,11,11,12,12,16,30,42,33,56,56,60,72,73,103,127,127,213,130,233,243,266,345,318,448,456,463,476,468,501,478,503
Piemonte,ricoverati_con_sintomi,0.0,0.0,2,2,2,2,7,7,11,12,13,26,43,57,110,245,222,306,319,368,556,538,726,1045,1378,1780,2279,1541,1976,2118,2194,2404,2544,2633,2852,3094,2985,2985,3174,3146,3341
Friuli Venezia Giulia,ricoverati_con_sintomi,0.0,0.0,0,0,0,0,0,0,0,0,1,3,4,4,7,7,18,27,16,23,59,67,98,96,104,128,134,143,152,163,185,195,200,212,222,223,236,229,215,206,199
Sardegna,ricoverati_con_sintomi,0.0,0.0,0,0,0,0,0,0,0,0,1,1,2,2,2,5,8,9,10,12,12,14,16,39,36,42,43,56,65,67,76,80,82,92,93,95,105,113,113,119,117
